35918,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x78, 0xC8, 0x00, 0x00, 0x00

35928,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x82, 0xC8, 0x00, 0x00, 0x00

35938,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x85, 0xC8, 0x00, 0x00, 0x00

35948,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8D, 0xC8, 0x00, 0x00, 0x00

35958,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x96, 0xC8, 0x00, 0x00, 0x00

35967,0x351,false,8, 0x90, 0x0F, 0xDC, 0x05, 0xB8, 0x0B, 0x00, 0x0C

35968,0x355,false,8, 0x60, 0x00, 0x64, 0x00, 0xC0, 0x03, 0x00, 0x00

35968,0x356,false,8, 0x40, 0x0F, 0xFD, 0xFF, 0xAE, 0x00, 0x00, 0x00

35968,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x9C, 0xC8, 0x00, 0x00, 0x00

35970,0x35A,false,8, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

35970,0x35E,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x42, 0x4D, 0x53

35972,0x370,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x45, 0x43, 0x4F

35974,0x373,false,8, 0xE1, 0x0F, 0xE6, 0x0F, 0x22, 0x01, 0x23, 0x01

35976,0x379,false,8, 0xDC, 0x00, 0x06, 0x07, 0x01, 0x00, 0x00, 0x00

35978,0x372,false,8, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

35978,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x9D, 0xC8, 0x00, 0x00, 0x00

35988,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0xA1, 0xC8, 0x00, 0x00, 0x00

35998,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x9B, 0xC8, 0x00, 0x00, 0x00

36008,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x98, 0xC8, 0x00, 0x00, 0x00

36015,0x2FF,false,7, 0x01, 0xE8, 0x03, 0x90, 0x0F, 0xDC, 0x05

36018,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x9E, 0xC8, 0x00, 0x00, 0x00

36025,0x365,false,8, 0x01, 0x10, 0x00, 0x00, 0x00, 0x59, 0x10, 0x32

36028,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x96, 0xC8, 0x00, 0x00, 0x00

36035,0x366,false,7, 0x0E, 0x11, 0xEB, 0x00, 0xF4, 0x0B, 0x4E

36038,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8E, 0xC8, 0x00, 0x00, 0x00

36045,0x367,false,3, 0x00, 0x00, 0x00

36048,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8A, 0xC8, 0x00, 0x00, 0x00

36058,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x86, 0xC8, 0x00, 0x00, 0x00

36068,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x76, 0xC8, 0x00, 0x00, 0x00



36072

Chargers connected

 ID 7 Found 



s - Menu







36078,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x75, 0xC8, 0x00, 0x00, 0x00

36088,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

36098,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

36108,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

36118,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

36128,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x73, 0xC8, 0x00, 0x00, 0x00

36138,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6A, 0xC8, 0x00, 0x00, 0x00

36148,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6B, 0xC8, 0x00, 0x00, 0x00

36158,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

36168,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x73, 0xC8, 0x00, 0x00, 0x00

36178,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

36188,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x75, 0xC8, 0x00, 0x00, 0x00

36198,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

36208,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

36212,0x367,false,3, 0x00, 0x00, 0x02

36218,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

36228,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

36238,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

36248,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5D, 0xC8, 0x00, 0x00, 0x00

36258,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x56, 0xC8, 0x00, 0x00, 0x00

36268,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4A, 0xC8, 0x00, 0x00, 0x00

36277,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x49, 0xC8, 0x00, 0x00, 0x00

36288,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x41, 0xC8, 0x00, 0x00, 0x00

36297,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x43, 0xC8, 0x00, 0x00, 0x00

36307,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x46, 0xC8, 0x00, 0x00, 0x00

36317,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x47, 0xC8, 0x00, 0x00, 0x00

36328,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x44, 0xC8, 0x00, 0x00, 0x00

36337,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x43, 0xC8, 0x00, 0x00, 0x00

36347,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4A, 0xC8, 0x00, 0x00, 0x00

36358,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x51, 0xC8, 0x00, 0x00, 0x00

36367,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x55, 0xC8, 0x00, 0x00, 0x00

36377,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5B, 0xC8, 0x00, 0x00, 0x00

36387,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

36397,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

36407,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

36417,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x70, 0xC8, 0x00, 0x00, 0x00

36427,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

36437,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6A, 0xC8, 0x00, 0x00, 0x00

36447,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

36458,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x69, 0xC8, 0x00, 0x00, 0x00

36467,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

36477,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x73, 0xC8, 0x00, 0x00, 0x00

36487,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

36497,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x73, 0xC8, 0x00, 0x00, 0x00

36507,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

36517,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

36527,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

36537,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6A, 0xC8, 0x00, 0x00, 0x00

36547,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

36557,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

36567,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x70, 0xC8, 0x00, 0x00, 0x00



36573

Chargers connected

 ID 7 Found 



s - Menu







36577,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

36587,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

